text,timestamp,username,lang
@CoinbasePro you’re holding all our crypto assets and money! Unlock my damn money #coinbasepro! Millions of dollars… https://t.co/hNAtkMvmcP,Mon Nov 22 21:09:19 +0000 2021,CRYPT0CHR0NIC,en
#StopTheSteal #NixonWon https://t.co/yHus9riIZY,Mon Nov 22 21:44:43 +0000 2021,Rusty_boy876,und
"You know whats funny about yt ppl &amp; conspiracies like #CIAKilledJFK #StopTheSteal #Qanon, landing on the moon, rept… https://t.co/I6yUYZHkuM",Mon Nov 22 21:27:27 +0000 2021,mot427,en
@bryanmepstein THIS #StopTheSteal .US   Ali guy   BETTER BE ALSO !    He was vicious on line.  https://t.co/9A6rTuuVzJ,Tue Nov 23 01:25:46 +0000 2021,CrazyRoseMary3,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:40 +0000 2021,boi_oprah,en
Letters from a Committee are now a subpoena! #Jan6Hoax Fake subpoena @RepLizCheney #StopTheSteal,Tue Nov 23 01:08:34 +0000 2021,DavidBilling10,en
Right as usual Jr.!  #VoterFraud #StopTheSteal #TrumpWon #BidenCheated #VoterID  #FJB  #LGB https://t.co/dqv9uy0GvK,Tue Nov 23 00:59:52 +0000 2021,fishnfreak,en
RT @MFreeman_ATASED: @LeaLovesUSA @FrankFigliuzzi1 I'm HOPING @FBI has lots of evidence on @Trump's #StopTheSteal co-conspirators including…,Tue Nov 23 00:58:29 +0000 2021,JesusNarrowWay,en
Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:18:56 +0000 2021,CRYPT0CHR0NIC,en
Abandoned By #SeditiousTrump  January 6 Failed Coup Attack On Congress And Sacking Of The Capital Organizers Were “… https://t.co/hmQvatchh6,Tue Nov 23 00:55:53 +0000 2021,walnutsthe2ed,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Tue Nov 23 00:37:40 +0000 2021,StimulusCheck7,en
"LOL!! ""Stinkor, with real smell of Fraud!"" #StopTheSteal https://t.co/oUTFPJ3SJl via @YouTube",Tue Nov 23 01:14:35 +0000 2021,Nuclearpast,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:20 +0000 2021,wouldnotmind,en
"@TheOtherGarth Just make sure they win in the next 2 years, because salary cap, draft picks and age of impact playe… https://t.co/a3miRQqMr3",Tue Nov 23 00:14:22 +0000 2021,jordanjacobs24,en
RT @PeculiarBaptist: The #StopTheSteal rallies were mostly planned by FBI agents.,Tue Nov 23 00:12:56 +0000 2021,jcdav,en
Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal https://t.co/DT5fZxqGHb,Tue Nov 23 00:00:44 +0000 2021,AtheistStreet,en
"RT @cbs46: The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the #StoptheStea…",Mon Nov 22 23:51:37 +0000 2021,DMHaselden3,en
RT @AtheistStreet: Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal,Tue Nov 23 00:05:43 +0000 2021,genxgmom,en
"RT @arapaho415: @January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-Dec [202…",Mon Nov 22 23:47:26 +0000 2021,79topper,en
#StopTheSteal,Mon Nov 22 23:32:46 +0000 2021,reaxnarykaguya,und
The #StopTheSteal rallies were mostly planned by FBI agents. https://t.co/GbvfglGQrl,Mon Nov 22 23:15:55 +0000 2021,PeculiarBaptist,en
"@January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-… https://t.co/HvEN1cV1do",Mon Nov 22 23:37:35 +0000 2021,arapaho415,en
5 new January 6 committee subpoenas issued https://t.co/bx7fXQ1CDh  #uspolitics #donaldtrump #stopthesteal #donaldtrumpjr #news,Mon Nov 22 23:08:34 +0000 2021,tryingBot05,et
"The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the… https://t.co/YHFtMxcUDY",Mon Nov 22 23:48:11 +0000 2021,cbs46,en
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:41:36 +0000 2021,Falconetti900,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 23:05:37 +0000 2021,japnc1999,es
#StopTheSteal of democracy by the #TrumpGOP4thReich. #VoteBlue2022,Mon Nov 22 23:53:50 +0000 2021,JDels2,en
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:39:41 +0000 2021,MikelMarlasca,es
"🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por… https://t.co/uyXWtHx3Xa",Mon Nov 22 22:36:26 +0000 2021,Nanisimo,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:40:37 +0000 2021,MariLuzh26,es
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:27:30 +0000 2021,SqueezeTokenOG,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:25:33 +0000 2021,SqueezeReporter,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:24:38 +0000 2021,SqueezeHODLer,en
#WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 pric… https://t.co/b4j3dnXhmx,Mon Nov 22 22:24:12 +0000 2021,Hig44,en
RT @CRYPT0CHR0NIC: @CoinbasePro you’re holding all our crypto assets and money! Unlock my damn money #coinbasepro! Millions of dollars held…,Mon Nov 22 22:29:56 +0000 2021,CRYPT0CHR0NIC,en
America post-freedom:  Day 307 of fake election winners  Week 88 of two weeks to flatten the curve… https://t.co/khzmca2OpX,Mon Nov 22 22:29:37 +0000 2021,AmericaHostage,en
RT @Rusty_boy876: #StopTheSteal #NixonWon,Mon Nov 22 21:58:15 +0000 2021,6thDoctorFan,und
#StopTheSteal #NixonWon https://t.co/yHus9riIZY,Mon Nov 22 21:44:43 +0000 2021,Rusty_boy876,und
"You know whats funny about yt ppl &amp; conspiracies like #CIAKilledJFK #StopTheSteal #Qanon, landing on the moon, rept… https://t.co/I6yUYZHkuM",Mon Nov 22 21:27:27 +0000 2021,mot427,en
"RT @hope4kay: @KamalaHarris LOLROTF you peeps take the cake. Nooooo #WeThePeople would just like election integrity,  the old fashioned kin…",Mon Nov 22 21:25:03 +0000 2021,alexandraheuser,en
"#BreakingNews The House #Jan6th panel has subpoenaed longtime #GOP operative Roger Stone, conspiracy theorist Alex… https://t.co/hhqMqw3Qe2",Mon Nov 22 22:30:32 +0000 2021,tpa_bob,en
@CoinbasePro you’re holding all our crypto assets and money! Unlock my damn money #coinbasepro! Millions of dollars… https://t.co/hNAtkMvmcP,Mon Nov 22 21:09:19 +0000 2021,CRYPT0CHR0NIC,en
@bryanmepstein THIS #StopTheSteal .US   Ali guy   BETTER BE ALSO !    He was vicious on line.  https://t.co/9A6rTuuVzJ,Tue Nov 23 01:25:46 +0000 2021,CrazyRoseMary3,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:40 +0000 2021,boi_oprah,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:20 +0000 2021,wouldnotmind,en
"LOL!! ""Stinkor, with real smell of Fraud!"" #StopTheSteal https://t.co/oUTFPJ3SJl via @YouTube",Tue Nov 23 01:14:35 +0000 2021,Nuclearpast,en
Letters from a Committee are now a subpoena! #Jan6Hoax Fake subpoena @RepLizCheney #StopTheSteal,Tue Nov 23 01:08:34 +0000 2021,DavidBilling10,en
Right as usual Jr.!  #VoterFraud #StopTheSteal #TrumpWon #BidenCheated #VoterID  #FJB  #LGB https://t.co/dqv9uy0GvK,Tue Nov 23 00:59:52 +0000 2021,fishnfreak,en
RT @MFreeman_ATASED: @LeaLovesUSA @FrankFigliuzzi1 I'm HOPING @FBI has lots of evidence on @Trump's #StopTheSteal co-conspirators including…,Tue Nov 23 00:58:29 +0000 2021,JesusNarrowWay,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Tue Nov 23 00:37:40 +0000 2021,StimulusCheck7,en
"@TheOtherGarth Just make sure they win in the next 2 years, because salary cap, draft picks and age of impact playe… https://t.co/a3miRQqMr3",Tue Nov 23 00:14:22 +0000 2021,jordanjacobs24,en
Abandoned By #SeditiousTrump  January 6 Failed Coup Attack On Congress And Sacking Of The Capital Organizers Were “… https://t.co/hmQvatchh6,Tue Nov 23 00:55:53 +0000 2021,walnutsthe2ed,en
RT @PeculiarBaptist: The #StopTheSteal rallies were mostly planned by FBI agents.,Tue Nov 23 00:12:56 +0000 2021,jcdav,en
RT @AtheistStreet: Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal,Tue Nov 23 00:05:43 +0000 2021,genxgmom,en
Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal https://t.co/DT5fZxqGHb,Tue Nov 23 00:00:44 +0000 2021,AtheistStreet,en
"RT @cbs46: The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the #StoptheStea…",Mon Nov 22 23:51:37 +0000 2021,DMHaselden3,en
#StopTheSteal of democracy by the #TrumpGOP4thReich. #VoteBlue2022,Mon Nov 22 23:53:50 +0000 2021,JDels2,en
"The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the… https://t.co/YHFtMxcUDY",Mon Nov 22 23:48:11 +0000 2021,cbs46,en
"RT @arapaho415: @January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-Dec [202…",Mon Nov 22 23:47:26 +0000 2021,79topper,en
"@January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-… https://t.co/HvEN1cV1do",Mon Nov 22 23:37:35 +0000 2021,arapaho415,en
The #StopTheSteal rallies were mostly planned by FBI agents. https://t.co/GbvfglGQrl,Mon Nov 22 23:15:55 +0000 2021,PeculiarBaptist,en
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 23:05:37 +0000 2021,japnc1999,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:41:36 +0000 2021,Falconetti900,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:40:37 +0000 2021,MariLuzh26,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:39:41 +0000 2021,MikelMarlasca,es
"🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por… https://t.co/uyXWtHx3Xa",Mon Nov 22 22:36:26 +0000 2021,Nanisimo,es
"#BreakingNews The House #Jan6th panel has subpoenaed longtime #GOP operative Roger Stone, conspiracy theorist Alex… https://t.co/hhqMqw3Qe2",Mon Nov 22 22:30:32 +0000 2021,tpa_bob,en
Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:18:56 +0000 2021,CRYPT0CHR0NIC,en
RT @CRYPT0CHR0NIC: @CoinbasePro you’re holding all our crypto assets and money! Unlock my damn money #coinbasepro! Millions of dollars held…,Mon Nov 22 22:29:56 +0000 2021,CRYPT0CHR0NIC,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:27:30 +0000 2021,SqueezeTokenOG,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:25:33 +0000 2021,SqueezeReporter,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:24:38 +0000 2021,SqueezeHODLer,en
#WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 pric… https://t.co/b4j3dnXhmx,Mon Nov 22 22:24:12 +0000 2021,Hig44,en
RT @Rusty_boy876: #StopTheSteal #NixonWon,Mon Nov 22 21:58:15 +0000 2021,6thDoctorFan,und
#StopTheSteal #NixonWon https://t.co/yHus9riIZY,Mon Nov 22 21:44:43 +0000 2021,Rusty_boy876,und
"You know whats funny about yt ppl &amp; conspiracies like #CIAKilledJFK #StopTheSteal #Qanon, landing on the moon, rept… https://t.co/I6yUYZHkuM",Mon Nov 22 21:27:27 +0000 2021,mot427,en
"RT @hope4kay: @KamalaHarris LOLROTF you peeps take the cake. Nooooo #WeThePeople would just like election integrity,  the old fashioned kin…",Mon Nov 22 21:25:03 +0000 2021,alexandraheuser,en
@CoinbasePro you’re holding all our crypto assets and money! Unlock my damn money #coinbasepro! Millions of dollars… https://t.co/hNAtkMvmcP,Mon Nov 22 21:09:19 +0000 2021,CRYPT0CHR0NIC,en
America post-freedom:  Day 307 of fake election winners  Week 88 of two weeks to flatten the curve… https://t.co/khzmca2OpX,Mon Nov 22 22:29:37 +0000 2021,AmericaHostage,en
#StopTheSteal,Mon Nov 22 23:32:46 +0000 2021,reaxnarykaguya,und
5 new January 6 committee subpoenas issued https://t.co/bx7fXQ1CDh  #uspolitics #donaldtrump #stopthesteal #donaldtrumpjr #news,Mon Nov 22 23:08:34 +0000 2021,tryingBot05,et
@bryanmepstein THIS #StopTheSteal .US   Ali guy   BETTER BE ALSO !    He was vicious on line.  https://t.co/9A6rTuuVzJ,Tue Nov 23 01:25:46 +0000 2021,CrazyRoseMary3,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:40 +0000 2021,boi_oprah,en
RT @CRYPT0CHR0NIC: Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:22:20 +0000 2021,wouldnotmind,en
"LOL!! ""Stinkor, with real smell of Fraud!"" #StopTheSteal https://t.co/oUTFPJ3SJl via @YouTube",Tue Nov 23 01:14:35 +0000 2021,Nuclearpast,en
Where is our #crypto at #Coinbase #coinbasepro ?!?  #coinbasescam #stopthesteal,Tue Nov 23 01:18:56 +0000 2021,CRYPT0CHR0NIC,en
Letters from a Committee are now a subpoena! #Jan6Hoax Fake subpoena @RepLizCheney #StopTheSteal,Tue Nov 23 01:08:34 +0000 2021,DavidBilling10,en
RT @MFreeman_ATASED: @LeaLovesUSA @FrankFigliuzzi1 I'm HOPING @FBI has lots of evidence on @Trump's #StopTheSteal co-conspirators including…,Tue Nov 23 00:58:29 +0000 2021,JesusNarrowWay,en
Abandoned By #SeditiousTrump  January 6 Failed Coup Attack On Congress And Sacking Of The Capital Organizers Were “… https://t.co/hmQvatchh6,Tue Nov 23 00:55:53 +0000 2021,walnutsthe2ed,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Tue Nov 23 00:37:40 +0000 2021,StimulusCheck7,en
Right as usual Jr.!  #VoterFraud #StopTheSteal #TrumpWon #BidenCheated #VoterID  #FJB  #LGB https://t.co/dqv9uy0GvK,Tue Nov 23 00:59:52 +0000 2021,fishnfreak,en
"@TheOtherGarth Just make sure they win in the next 2 years, because salary cap, draft picks and age of impact playe… https://t.co/a3miRQqMr3",Tue Nov 23 00:14:22 +0000 2021,jordanjacobs24,en
RT @PeculiarBaptist: The #StopTheSteal rallies were mostly planned by FBI agents.,Tue Nov 23 00:12:56 +0000 2021,jcdav,en
RT @AtheistStreet: Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal,Tue Nov 23 00:05:43 +0000 2021,genxgmom,en
Hilary literally stole the nomination from Bernie. If we want to be super fucking honest…… #StopTheSteal https://t.co/DT5fZxqGHb,Tue Nov 23 00:00:44 +0000 2021,AtheistStreet,en
#StopTheSteal of democracy by the #TrumpGOP4thReich. #VoteBlue2022,Mon Nov 22 23:53:50 +0000 2021,JDels2,en
"RT @cbs46: The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the #StoptheStea…",Mon Nov 22 23:51:37 +0000 2021,DMHaselden3,en
"The latest batch of subpoenas indicates the committee continues to focus, in part, on organizers and funding of the… https://t.co/YHFtMxcUDY",Mon Nov 22 23:48:11 +0000 2021,cbs46,en
"@January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-… https://t.co/HvEN1cV1do",Mon Nov 22 23:37:35 +0000 2021,arapaho415,en
"RT @arapaho415: @January6thCmte @clearing_fog @satirehat @TeresaCCarter2 10/ ...starting tomorrow on my orders!'"" ""Starting in mid-Dec [202…",Mon Nov 22 23:47:26 +0000 2021,79topper,en
#StopTheSteal,Mon Nov 22 23:32:46 +0000 2021,reaxnarykaguya,und
The #StopTheSteal rallies were mostly planned by FBI agents. https://t.co/GbvfglGQrl,Mon Nov 22 23:15:55 +0000 2021,PeculiarBaptist,en
5 new January 6 committee subpoenas issued https://t.co/bx7fXQ1CDh  #uspolitics #donaldtrump #stopthesteal #donaldtrumpjr #news,Mon Nov 22 23:08:34 +0000 2021,tryingBot05,et
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:41:36 +0000 2021,Falconetti900,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 23:05:37 +0000 2021,japnc1999,es
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:39:41 +0000 2021,MikelMarlasca,es
"#BreakingNews The House #Jan6th panel has subpoenaed longtime #GOP operative Roger Stone, conspiracy theorist Alex… https://t.co/hhqMqw3Qe2",Mon Nov 22 22:30:32 +0000 2021,tpa_bob,en
"RT @Nanisimo: 🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por su papel e…",Mon Nov 22 22:40:37 +0000 2021,MariLuzh26,es
America post-freedom:  Day 307 of fake election winners  Week 88 of two weeks to flatten the curve… https://t.co/khzmca2OpX,Mon Nov 22 22:29:37 +0000 2021,AmericaHostage,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:25:33 +0000 2021,SqueezeReporter,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:27:30 +0000 2021,SqueezeTokenOG,en
RT @Hig44: #WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 price for new inv…,Mon Nov 22 22:24:38 +0000 2021,SqueezeHODLer,en
#WaronCryptoTerror #WaronRugs #StoptheSteal  #Squeeze continues to drive out bad money and has created a day 1 pric… https://t.co/b4j3dnXhmx,Mon Nov 22 22:24:12 +0000 2021,Hig44,en
RT @Rusty_boy876: #StopTheSteal #NixonWon,Mon Nov 22 21:58:15 +0000 2021,6thDoctorFan,und
#StopTheSteal #NixonWon https://t.co/yHus9riIZY,Mon Nov 22 21:44:43 +0000 2021,Rusty_boy876,und
"You know whats funny about yt ppl &amp; conspiracies like #CIAKilledJFK #StopTheSteal #Qanon, landing on the moon, rept… https://t.co/I6yUYZHkuM",Mon Nov 22 21:27:27 +0000 2021,mot427,en
"RT @hope4kay: @KamalaHarris LOLROTF you peeps take the cake. Nooooo #WeThePeople would just like election integrity,  the old fashioned kin…",Mon Nov 22 21:25:03 +0000 2021,alexandraheuser,en
"🔥🇺🇸 Roger Stone y Alex Jones, llamados a testificar ante el comité congresual especial del asalto al Capitolio por… https://t.co/uyXWtHx3Xa",Mon Nov 22 22:36:26 +0000 2021,Nanisimo,es
